Word,Documents
processo,"[(1, 1), (11, 2), (17, 3), (32, 1), (36, 1), (38, 3), (50, 1), (55, 2), (57, 2), (59, 3), (66, 2), (73, 1)]"
dias,"[(1, 1), (20, 2), (31, 1), (32, 1), (34, 1), (35, 2), (36, 1), (37, 1), (38, 1), (55, 2), (57, 1), (60, 1), (64, 1), (65, 1), (73, 1)]"
segundo,"[(1, 2), (2, 1), (8, 4), (9, 1), (10, 2), (11, 1), (12, 1), (13, 1), (16, 1), (17, 1), (20, 1), (24, 1), (26, 2), (27, 1), (30, 2), (32, 1), (33, 2), (35, 1), (43, 1), (49, 1), (51, 3), (53, 1), (55, 1), (56, 1), (59, 1), (61, 1), (62, 1), (63, 2), (64, 2), (66, 1), (67, 1), (68, 1), (69, 1), (74, 1)]"
executivo,"[(1, 1), (20, 2)]"
haveriam,"[(1, 1)]"
prejuízos,"[(1, 1), (11, 1)]"
todos,"[(1, 2), (15, 1), (20, 1), (30, 2), (32, 1), (34, 1), (49, 1), (56, 1), (59, 1), (62, 1), (65, 1), (67, 1)]"
representados,"[(1, 1)]"
incluindo,"[(1, 1), (11, 1), (18, 1), (26, 1), (27, 1), (36, 1), (39, 1), (70, 1)]"
minoritários,"[(1, 1)]"
processos,"[(1, 1), (51, 1)]"
acompanhados,"[(1, 1)]"
tcu,"[(1, 1), (8, 1), (11, 2), (48, 1)]"
tribunal,"[(1, 1), (5, 1), (8, 1), (11, 1), (17, 2), (32, 1), (48, 2), (55, 2), (57, 3), (59, 1), (61, 1), (65, 1)]"
contas,"[(1, 1), (6, 1), (8, 1), (10, 2), (11, 1), (23, 1), (29, 1), (48, 1)]"
união,"[(1, 1), (8, 2), (11, 1), (33, 4), (38, 1), (48, 4), (61, 5)]"
sest,"[(1, 1)]"
secretaria,"[(1, 1), (2, 1), (8, 1), (32, 1), (39, 1), (70, 1)]"
coordenação,"[(1, 1)]"
governança,"[(1, 1), (11, 1), (33, 1)]"
estatais,"[(1, 1), (11, 1)]"
ministério,"[(1, 1), (8, 1), (11, 1), (12, 3), (16, 1), (19, 1), (20, 1), (26, 1), (28, 2), (30, 2), (31, 2), (32, 1), (43, 1), (48, 1), (60, 6), (61, 2), (70, 1)]"
economia,"[(1, 1), (3, 2), (6, 6), (7, 1), (8, 2), (9, 1), (11, 1), (14, 1), (29, 2), (31, 1), (32, 3), (35, 1), (39, 1), (58, 1), (63, 1), (66, 1), (68, 1), (75, 1)]"
ainda,"[(1, 1), (6, 1), (7, 1), (8, 2), (12, 2), (15, 1), (18, 1), (26, 1), (32, 1), (33, 1), (34, 3), (38, 3), (48, 1), (51, 2), (53, 1), (61, 1), (62, 1), (64, 1), (66, 1), (69, 1), (70, 1), (74, 1)]"
caso,"[(1, 2), (8, 1), (33, 1), (36, 1), (50, 2), (57, 1), (59, 1), (61, 1)]"
privatização,"[(1, 1)]"
transportadora,"[(1, 1), (8, 1)]"
associada,"[(1, 1), (8, 1)]"
gás,"[(1, 1), (8, 1)]"
tag,"[(1, 1), (8, 1)]"
ocorra,"[(1, 2)]"
abril,"[(1, 1), (18, 1), (32, 1), (35, 2), (50, 1), (57, 1), (60, 1), (64, 1), (66, 1), (73, 4)]"
véspera,"[(1, 1)]"
vai,"[(1, 1), (5, 1), (6, 3), (15, 2), (30, 1), (32, 1), (33, 1), (37, 5), (38, 6), (40, 2), (43, 1), (45, 1), (55, 2), (62, 1), (66, 2), (67, 2), (68, 1)]"
discutir,"[(1, 1), (21, 1), (29, 1), (33, 1), (34, 1), (38, 1), (59, 1)]"
mudança,"[(1, 2), (6, 1), (12, 1), (22, 1), (23, 1), (35, 1), (56, 2), (62, 5)]"
nova,"[(1, 1), (20, 2), (21, 1), (23, 2), (24, 1), (38, 3), (55, 1), (67, 2)]"
