Word,Documents
divulgado,"[(4, 1), (13, 1), (32, 1), (70, 1)]"
associação,"[(4, 1), (32, 1)]"
nacional,"[(4, 1), (6, 1), (8, 1), (10, 1), (11, 1), (19, 1), (28, 2), (29, 1), (32, 4), (33, 1), (38, 1), (54, 1), (56, 2), (66, 3), (70, 1), (73, 1)]"
fabricantes,"[(4, 1)]"
automotores,"[(4, 1)]"
anfavea,"[(4, 2)]"
antonio,"[(4, 1)]"
carlos,"[(4, 1), (8, 1), (20, 1), (31, 1), (56, 1)]"
botelho,"[(4, 1)]"
megale,"[(4, 3)]"
três,"[(4, 1), (8, 1), (20, 1), (32, 2), (53, 1), (60, 2), (65, 1), (68, 1), (73, 1)]"
fatores,"[(4, 1)]"
influenciaram,"[(4, 1)]"
resultado,"[(4, 2), (8, 1), (12, 1), (30, 1), (34, 1), (49, 1)]"
negativo,"[(4, 1)]"
greve,"[(4, 1), (35, 1)]"
trabalhadores,"[(4, 1), (5, 1), (29, 1), (31, 1), (35, 2), (38, 3), (59, 1), (63, 1), (64, 1)]"
enchente,"[(4, 1)]"
fábrica,"[(4, 1)]"
mercedes,"[(4, 1)]"
benz,"[(4, 1)]"
exportações,"[(4, 1), (13, 1), (15, 1), (30, 1), (33, 1), (62, 1), (69, 1)]"
além,"[(4, 1), (5, 1), (7, 1), (8, 1), (10, 1), (13, 1), (21, 1), (24, 1), (32, 3), (33, 1), (37, 1), (60, 2)]"
disso,"[(4, 1), (8, 1), (32, 2), (58, 1), (60, 2)]"
útil,"[(4, 1)]"
devido,"[(4, 2), (23, 1)]"
carnaval,"[(4, 1)]"
defendeu,"[(4, 1), (19, 1), (43, 1), (61, 1), (66, 1)]"
importância,"[(4, 1), (33, 1), (38, 2), (51, 1)]"
manutenção,"[(4, 1), (59, 1)]"
bons,"[(4, 1)]"
responsável,"[(4, 2), (13, 2), (15, 1), (34, 2), (37, 1), (53, 1)]"
geração,"[(4, 1), (23, 3)]"
renda,"[(4, 1), (6, 1), (9, 1), (20, 1), (32, 3)]"
relatório,"[(4, 1), (8, 2)]"
banco,"[(4, 1), (6, 1), (9, 1), (11, 1), (34, 1)]"
central,"[(4, 1), (6, 1), (9, 1), (29, 1), (66, 2)]"
biênio,"[(4, 1)]"
diz,"[(4, 1), (12, 2), (13, 1), (20, 1), (30, 1), (31, 1), (32, 1), (34, 4), (35, 3), (37, 4), (39, 1), (43, 1), (45, 1), (48, 1), (51, 1), (67, 2), (70, 2), (71, 1)]"
montadoras,"[(4, 1), (20, 1), (35, 1)]"
responsáveis,"[(4, 1), (34, 1), (49, 1), (58, 1), (70, 1)]"
terço,"[(4, 1), (29, 1)]"
crescimento,"[(4, 2), (6, 3), (28, 1), (29, 1), (67, 1)]"
industrial,"[(4, 1), (33, 1)]"
quarto,"[(4, 1), (8, 1), (64, 1)]"
total,"[(4, 1), (7, 1), (23, 1), (32, 2), (39, 3), (47, 1), (53, 1)]"
produto,"[(4, 1), (7, 1)]"
interno,"[(4, 1)]"
bruto,"[(4, 1)]"
pib,"[(4, 1), (6, 1)]"
mostra,"[(4, 1), (12, 1), (33, 1), (38, 1), (56, 1)]"
relevância,"[(4, 1)]"
setor,"[(4, 3), (13, 1), (31, 1), (32, 4), (33, 2), (38, 1)]"
queremos,"[(4, 1)]"
investimentos,"[(4, 1), (6, 1), (8, 1), (13, 2)]"
fiquem,"[(4, 1)]"
licenciamento,"[(4, 1)]"
automóveis,"[(4, 1)]"
novos,"[(4, 1), (32, 1)]"
apresentou,"[(4, 1), (48, 1), (57, 1), (63, 1)]"
acumulado,"[(4, 3)]"
desde,"[(4, 2), (6, 2), (7, 1), (8, 2), (9, 1), (10, 1), (15, 1), (16, 1), (19, 1), (26, 1), (31, 1), (34, 2), (38, 2), (43, 1), (55, 1), (57, 1)]"
início,"[(4, 1), (8, 1), (9, 1), (10, 1), (20, 1), (31, 1), (35, 1), (52, 1), (73, 1)]"
período,"[(4, 1), (6, 1), (9, 2), (20, 1), (27, 1), (30, 1), (45, 2), (49, 1), (51, 2), (66, 1), (70, 1)]"
média,"[(4, 1), (32, 1)]"
diária,"[(4, 1)]"
maior,"[(4, 1), (6, 1), (7, 3), (8, 1), (9, 1), (10, 2), (15, 1), (22, 1), (30, 1), (32, 1), (33, 1), (64, 1)]"
exportação,"[(4, 1), (32, 2), (33, 1)]"
entanto,"[(4, 1), (10, 2), (13, 1), (18, 1), (30, 1), (65, 1), (70, 1)]"
continua,"[(4, 2), (7, 1), (32, 1), (34, 1), (59, 1), (64, 1)]"
trazendo,"[(4, 1)]"
números,"[(4, 1)]"
pessimistas,"[(4, 1)]"
crise,"[(4, 1), (12, 1), (13, 1), (24, 1), (29, 1), (32, 1), (38, 2)]"
argentina,"[(4, 2), (29, 3), (42, 1)]"
principal,"[(4, 1), (8, 1), (10, 1), (16, 1), (25, 1), (32, 1)]"
importadora,"[(4, 1)]"
brasileiros,"[(4, 1), (9, 2), (13, 1), (33, 2), (49, 1), (59, 2), (64, 1), (70, 1)]"
retração,"[(4, 1)]"
vamos,"[(4, 1), (58, 1), (67, 1)]"
primeiro,"[(4, 1), (6, 1), (9, 1), (15, 1), (18, 1), (21, 1), (55, 1), (62, 2), (66, 1)]"
semestre,"[(4, 1), (55, 2)]"
absolutamente,"[(4, 1), (21, 1)]"
comprometido,"[(4, 1), (59, 1)]"
esperamos,"[(4, 1)]"
comece,"[(4, 1)]"
melhorar,"[(4, 1), (43, 1)]"
posteriormente,"[(4, 1), (44, 1)]"
predominante,"[(4, 1)]"
importações,"[(4, 2), (33, 1)]"
respondendo,"[(4, 1)]"
fatia,"[(4, 1), (7, 1)]"
mercado,"[(4, 1), (6, 5), (7, 1), (8, 3), (31, 1), (66, 1), (69, 1), (73, 1)]"
entretanto,"[(4, 1), (65, 1)]"
têm,"[(4, 1), (10, 1), (11, 1), (25, 1), (29, 1), (32, 1), (34, 2), (51, 1), (59, 1)]"
destacado,"[(4, 1)]"
méxico,"[(4, 1), (33, 1)]"
brasileira,"[(4, 1), (12, 3), (13, 1), (31, 1), (32, 1), (35, 1), (38, 2), (51, 1), (56, 3), (59, 3), (61, 1), (62, 5), (63, 2), (66, 1), (67, 1)]"
col,"[(4, 1), (21, 4)]"
mbia,"[(4, 1), (21, 4)]"
cresceu,"[(4, 1)]"
comercialização,"[(4, 1), (32, 2)]"
máquinas,"[(4, 1)]"
agrícolas,"[(4, 1), (32, 3), (33, 1)]"
mostrou,"[(4, 1)]"
otimista,"[(4, 1)]"
aumento,"[(4, 1), (5, 1), (7, 2), (8, 1), (9, 1), (29, 1), (33, 4)]"
registrado,"[(4, 1), (9, 2)]"
safra,"[(4, 3), (29, 1)]"
boa,"[(4, 1), (12, 1), (21, 1), (68, 1), (73, 4)]"
melhor,"[(4, 1), (9, 1), (18, 1), (37, 1), (66, 1)]"
história,"[(4, 1), (9, 2), (12, 4), (22, 2), (34, 4), (38, 1), (49, 2), (51, 1), (56, 1)]"
toda,"[(4, 1), (35, 1), (37, 1), (43, 1), (51, 1), (65, 1)]"
soja,"[(4, 1), (7, 1), (32, 2)]"
comercializada,"[(4, 1)]"
preço,"[(4, 1), (8, 2)]"
bom,"[(4, 1), (21, 1), (63, 1), (68, 1), (73, 1)]"
china,"[(4, 1), (6, 1), (7, 2), (8, 3), (19, 3), (26, 5), (33, 3), (66, 3)]"
capitalizado,"[(4, 1)]"
alto,"[(4, 1)]"
nível,"[(4, 1), (6, 2), (9, 2), (30, 1)]"
confiança,"[(4, 1), (6, 5), (26, 1), (43, 1)]"
regional,"[(5, 1), (31, 2), (57, 1), (66, 1)]"
região,"[(5, 1), (8, 1), (23, 1), (25, 1), (29, 1), (57, 1), (62, 1)]"
trt,"[(5, 2)]"
inclui,"[(5, 1)]"
baixada,"[(5, 1)]"
santista,"[(5, 1)]"
deu,"[(5, 1), (54, 2), (55, 1)]"
favorável,"[(5, 1), (8, 1)]"
sindicato,"[(5, 4), (35, 4)]"
desconto,"[(5, 2)]"
contribuições,"[(5, 1), (38, 2)]"
folha,"[(5, 2), (43, 1), (56, 1), (69, 1), (71, 1)]"
pagamento,"[(5, 1), (6, 1), (20, 1), (33, 1), (47, 1)]"
contrariando,"[(5, 1)]"
provisória,"[(5, 3)]"
admite,"[(5, 1)]"
apenas,"[(5, 2), (12, 1), (15, 1), (30, 1), (32, 1), (34, 1), (37, 4), (49, 1), (55, 1), (56, 1), (57, 1), (64, 1), (66, 1)]"
possibilidade,"[(5, 1), (6, 2), (8, 1), (18, 2), (21, 2), (27, 1), (43, 1), (62, 1)]"
boleto,"[(5, 2)]"
bancário,"[(5, 1)]"
desta,"[(5, 1), (8, 1), (12, 1), (14, 1), (15, 1), (49, 1), (55, 1), (57, 1), (65, 1), (67, 1), (69, 1), (75, 1)]"
vez,"[(5, 1), (6, 1), (15, 1), (17, 1), (22, 1), (24, 1), (35, 1), (38, 2), (57, 1), (60, 1), (62, 2), (63, 1), (66, 1), (69, 1)]"
desembargadora,"[(5, 2)]"
ivete,"[(5, 2)]"
ribeiro,"[(5, 2)]"
manteve,"[(5, 1), (7, 1)]"
primeira,"[(5, 1), (6, 1), (18, 1), (22, 1), (28, 1), (59, 1)]"
instância,"[(5, 2), (12, 1), (36, 1), (55, 3), (56, 1)]"
liminar,"[(5, 2)]"
petroleiros,"[(5, 1)]"
sindipetro,"[(5, 2)]"
litoral,"[(5, 2), (47, 1)]"
paulista,"[(5, 2), (8, 1)]"
petrobras,"[(5, 2), (8, 1), (11, 1), (48, 1)]"
entrado,"[(5, 1)]"
mandado,"[(5, 1), (65, 2)]"
segurança,"[(5, 1), (50, 1), (59, 1), (60, 3), (62, 2), (65, 3)]"
negado,"[(5, 1)]"
justiça,"[(5, 2), (8, 1), (14, 1), (17, 4), (20, 2), (50, 1), (51, 1), (57, 1), (59, 2), (60, 3), (65, 1), (68, 1), (70, 1), (73, 1), (75, 1)]"
meados,"[(5, 1), (19, 1)]"
informado,"[(5, 1)]"
sindicatos,"[(5, 1), (29, 1), (66, 1)]"
seguiria,"[(5, 1)]"
determinação,"[(5, 1)]"
permitindo,"[(5, 1)]"
descontos,"[(5, 1)]"
via,"[(5, 1)]"
autorizados,"[(5, 1)]"
previamente,"[(5, 1)]"
entidades,"[(5, 1), (28, 1), (66, 1), (70, 1)]"
passaram,"[(5, 1), (9, 1)]"
recorrer,"[(5, 1)]"
manter,"[(5, 1), (56, 2), (63, 1)]"
conseguiram,"[(5, 1)]"
liminares,"[(5, 1)]"
assim,"[(5, 1), (6, 1), (7, 1), (21, 1), (32, 1), (34, 1), (55, 1)]"
outras,"[(5, 1), (7, 1), (19, 1), (25, 1), (33, 2), (38, 1), (45, 1), (53, 2), (65, 1)]"
categorias,"[(5, 1)]"
profissionais,"[(5, 1)]"
obtido,"[(5, 1)]"
vara,"[(5, 1), (61, 1)]"
santos,"[(5, 1), (8, 1), (36, 2)]"
recorreu,"[(5, 1), (57, 1)]"
agora,"[(5, 2), (29, 1), (34, 2), (35, 1), (37, 1), (38, 1), (43, 1), (59, 2), (60, 1), (62, 1)]"
ratificada,"[(5, 1)]"
vice,"[(5, 1), (25, 1), (27, 2), (58, 1), (66, 1)]"
judicial,"[(5, 1)]"
desembargador,"[(5, 1)]"
rafael,"[(5, 1)]"
pugliese,"[(5, 1)]"
decidido,"[(5, 1)]"
favor,"[(5, 1), (33, 3), (42, 1), (64, 2), (71, 2), (74, 1)]"
motoristas,"[(5, 1)]"
atingia,"[(5, 1)]"
princípio,"[(5, 1), (48, 1)]"
liberdade,"[(5, 2), (20, 1), (32, 1), (34, 1), (36, 1), (49, 1), (51, 1)]"
sindical,"[(5, 2)]"
propiciar,"[(5, 1), (38, 1)]"
demandas,"[(5, 1)]"
judiciais,"[(5, 1)]"
contra,"[(5, 1), (6, 1), (9, 1), (12, 2), (15, 1), (17, 2), (20, 1), (22, 1), (25, 1), (29, 1), (33, 4), (34, 5), (37, 2), (40, 1), (49, 1), (50, 1), (53, 1), (55, 1), (56, 2), (57, 2), (58, 2), (59, 3), (64, 1), (66, 3), (69, 1), (70, 1)]"
reforma,"[(5, 1), (6, 5), (8, 3), (14, 1), (32, 1), (33, 5), (58, 2), (66, 2), (67, 2), (68, 1), (74, 1), (75, 1)]"
trabalhista,"[(5, 1), (16, 1)]"
privilegia,"[(5, 1)]"
negociado,"[(5, 1), (33, 1), (48, 1)]"
legislado,"[(5, 1)]"
entendo,"[(5, 1), (37, 1), (59, 1)]"
titular,"[(5, 1), (56, 1)]"
crédito,"[(5, 1), (10, 2), (33, 1), (43, 1)]"
nada,"[(5, 1), (23, 1), (37, 4), (45, 1), (49, 1), (55, 1), (60, 2), (71, 2)]"
correto,"[(5, 1), (60, 2)]"
permitir,"[(5, 1), (52, 1)]"
escolha,"[(5, 1)]"
cobrança,"[(5, 1)]"
categoria,"[(5, 1)]"
através,"[(5, 1), (23, 1), (34, 1), (50, 1), (70, 1)]"
negocial,"[(5, 1)]"
instaurada,"[(5, 1)]"
sistema,"[(5, 1), (8, 1), (33, 5), (38, 2), (57, 1), (66, 1), (68, 3)]"
jurídico,"[(5, 1)]"
economistas,"[(6, 1), (8, 1)]"
instituições,"[(6, 1), (24, 1), (51, 1), (59, 1)]"
financeiras,"[(6, 1), (24, 1)]"
reduziram,"[(6, 1)]"
estimativa,"[(6, 1), (32, 1), (35, 1)]"
abaixo,"[(6, 2), (8, 1), (10, 1), (29, 1), (31, 1), (34, 1)]"
marca,"[(6, 1)]"
previsão,"[(6, 1)]"
acompanha,"[(6, 1), (37, 1)]"
tendência,"[(6, 2), (9, 1)]"
observada,"[(6, 1)]"
últimos,"[(6, 1), (9, 1), (29, 1), (35, 1), (53, 1), (63, 1)]"
boletins,"[(6, 1)]"
focus,"[(6, 1)]"
realizados,"[(6, 1), (73, 1)]"
semanalmente,"[(6, 1)]"
especialistas,"[(6, 1), (8, 1), (27, 2), (33, 1)]"
explicam,"[(6, 1)]"
pode,"[(6, 2), (13, 1), (21, 1), (23, 1), (25, 1), (32, 1), (33, 1), (34, 1), (49, 1), (55, 1), (56, 1), (59, 1), (64, 1), (66, 1)]"
estar,"[(6, 2), (7, 1), (33, 1), (35, 2), (37, 1), (49, 1), (60, 2)]"
trás,"[(6, 1), (34, 1), (66, 1)]"
pessimismo,"[(6, 2)]"
economista,"[(6, 4), (10, 1)]"
fundação,"[(6, 1), (11, 1), (21, 1), (48, 2), (59, 2)]"
getúlio,"[(6, 1)]"
vargas,"[(6, 1)]"
ibre,"[(6, 1)]"
fvg,"[(6, 1)]"
marcel,"[(6, 2)]"
balassiano,"[(6, 1)]"
piora,"[(6, 1)]"
humor,"[(6, 1)]"
explicada,"[(6, 1)]"
resultados,"[(6, 2), (7, 1), (10, 1), (26, 1)]"
macroecon,"[(6, 1)]"
micos,"[(6, 1), (66, 1)]"
último,"[(6, 1), (30, 1), (35, 1), (68, 1)]"
trouxeram,"[(6, 1)]"
indicadores,"[(6, 3), (8, 1)]"
esperado,"[(6, 1), (11, 1)]"
acredita,"[(6, 1), (32, 1), (59, 1)]"
desidratação,"[(6, 1)]"
previdência,"[(6, 3), (8, 1), (11, 1), (14, 1), (32, 2), (58, 2), (66, 6), (67, 3), (68, 2), (70, 1), (73, 1), (74, 2), (75, 1)]"
congresso,"[(6, 3), (8, 1), (12, 1), (24, 1), (29, 1), (32, 1), (37, 2), (45, 1), (51, 1), (56, 1), (59, 1), (67, 1), (68, 1), (69, 1), (74, 1)]"
impacto,"[(6, 1), (29, 1), (33, 1), (37, 1), (66, 1)]"
direto,"[(6, 1), (62, 1)]"
eleitoral,"[(6, 1), (17, 1)]"
apresentaram,"[(6, 1), (24, 1)]"
variáveis,"[(6, 1)]"
financeiro,"[(6, 2), (11, 1)]"
ensaiaram,"[(6, 1)]"
trajetória,"[(6, 1), (59, 1)]"
fgv,"[(6, 2)]"
pondera,"[(6, 2), (32, 2)]"
situação,"[(6, 1), (15, 1), (19, 1), (55, 1)]"
atual,"[(6, 1), (8, 1), (33, 1), (34, 1), (35, 2), (38, 2), (59, 1), (68, 1)]"
expectativa,"[(6, 3), (8, 2)]"
futuro,"[(6, 2), (8, 2), (34, 1), (50, 2)]"
melhoria,"[(6, 1)]"
ligada,"[(6, 1)]"
expectativas,"[(6, 1), (8, 1)]"
fato,"[(6, 1), (30, 1), (34, 1), (38, 1), (49, 1), (63, 1), (70, 1)]"
cenário,"[(6, 1), (8, 2), (9, 1), (66, 1)]"
estabelecido,"[(6, 1), (32, 1)]"
problemas,"[(6, 1), (15, 1), (44, 1), (59, 1), (63, 1)]"
briga,"[(6, 1)]"
rodrigo,"[(6, 1), (50, 1), (65, 2)]"
maia,"[(6, 1), (65, 5)]"
levam,"[(6, 1)]"
incerteza,"[(6, 1), (33, 1)]"
diminuição,"[(6, 1)]"
empresarial,"[(6, 1)]"
ice,"[(6, 1)]"
metrificado,"[(6, 1)]"
caiu,"[(6, 1), (7, 2), (29, 1)]"
menor,"[(6, 1), (8, 1), (9, 1), (32, 1), (33, 1), (59, 1)]"
ressalta,"[(6, 2), (8, 1)]"
oscilação,"[(6, 1)]"
comuns,"[(6, 1), (26, 1), (52, 1)]"
reage,"[(6, 1)]"
rápido,"[(6, 1)]"
movimentação,"[(6, 1)]"
política,"[(6, 2), (12, 1), (21, 1), (23, 1), (29, 1), (32, 1), (33, 1), (35, 1), (36, 1), (37, 2), (38, 1), (63, 4), (66, 3)]"
tenta,"[(6, 1)]"
precificar,"[(6, 1)]"
ganhos,"[(6, 1), (11, 2), (33, 1)]"
perdas,"[(6, 1)]"
timing,"[(6, 1)]"
acontecer,"[(6, 1), (34, 1), (57, 1)]"
votação,"[(6, 1), (12, 1), (56, 1), (67, 1), (74, 1)]"
mudanças,"[(6, 2), (12, 2)]"
ocorrerão,"[(6, 1)]"
tudo,"[(6, 1), (17, 2), (18, 1), (35, 2), (37, 1), (38, 1), (43, 1), (52, 1), (56, 2), (66, 1)]"
ditar,"[(6, 1)]"
rumo,"[(6, 1), (8, 1), (62, 1)]"
próximos,"[(6, 1), (8, 1), (21, 1), (31, 2)]"
meses,"[(6, 1), (9, 4), (29, 1), (31, 1), (32, 2), (62, 2)]"
principalmente,"[(6, 1), (23, 1), (32, 2), (38, 1), (52, 1), (63, 2), (70, 1)]"
projeções,"[(6, 1)]"
empresariado,"[(6, 1), (34, 1)]"
questão,"[(6, 2), (26, 1), (55, 3), (63, 1), (74, 2)]"
talvez,"[(6, 1), (21, 1), (37, 1), (38, 1)]"
sim,"[(6, 1), (33, 1), (59, 1), (65, 1)]"
depende,"[(6, 1)]"
forte,"[(6, 1), (29, 2), (59, 1), (64, 1)]"
avalia,"[(6, 1), (32, 1), (64, 1)]"
porto,"[(6, 1), (8, 1), (36, 1), (59, 1), (73, 1)]"
seguro,"[(6, 1)]"
josé,"[(6, 1), (31, 1), (34, 2)]"
penna,"[(6, 2)]"
concorda,"[(6, 1), (55, 1)]"
destacando,"[(6, 1)]"
embora,"[(6, 1), (18, 1), (21, 1), (34, 1), (37, 1), (68, 1)]"
convicção,"[(6, 1)]"
duas,"[(6, 1), (8, 1), (23, 2), (37, 1), (38, 2), (53, 2)]"
questões,"[(6, 2), (8, 2), (19, 1), (25, 1), (34, 1), (35, 1)]"
permanecem,"[(6, 1)]"
fiscal,"[(6, 1), (32, 2), (67, 1)]"
tramitação,"[(6, 1)]"
diluição,"[(6, 1)]"
originalmente,"[(6, 1)]"
pretendida,"[(6, 1)]"
próprio,"[(6, 1), (52, 1)]"
deixou,"[(6, 1), (32, 2), (34, 1), (49, 1), (62, 1), (69, 1)]"
aberta,"[(6, 1), (11, 1)]"
rediscutir,"[(6, 1)]"
idade,"[(6, 2), (15, 1)]"
mínima,"[(6, 1)]"
aposentadoria,"[(6, 1), (73, 1)]"
mulheres,"[(6, 1), (34, 1), (58, 2), (59, 1)]"
aparente,"[(6, 1), (62, 1)]"
consenso,"[(6, 1)]"
benefício,"[(6, 1), (61, 1), (63, 1)]"
prestação,"[(6, 1), (32, 1)]"
continuada,"[(6, 1)]"
bpc,"[(6, 1)]"
menciona,"[(6, 1), (30, 1)]"
referência,"[(6, 1), (15, 1), (23, 1), (50, 1)]"
concedido,"[(6, 1)]"
idosos,"[(6, 1), (14, 1), (75, 1)]"
baixa,"[(6, 1), (8, 1), (29, 1)]"
atualmente,"[(6, 1), (18, 1), (21, 1), (26, 1), (31, 1), (35, 1), (59, 1), (70, 1)]"
salário,"[(6, 1), (60, 2)]"
mínimo,"[(6, 1)]"
texto,"[(6, 1), (30, 2), (37, 2), (51, 1), (70, 1)]"
fixado,"[(6, 1)]"
reais,"[(6, 1), (63, 1)]"
complete,"[(6, 1), (28, 1)]"
anos,"[(6, 1), (8, 1), (22, 1), (32, 1), (34, 3), (35, 3), (37, 1), (38, 4), (44, 1), (45, 1), (51, 2), (52, 1), (53, 1), (56, 2), (59, 2), (60, 2), (62, 1), (63, 2), (67, 1), (70, 2)]"
agenda,"[(6, 1), (25, 1)]"
desaceleração,"[(6, 1)]"
mundial,"[(6, 1), (7, 2), (28, 3), (30, 1), (33, 3), (38, 2)]"
instalação,"[(6, 1)]"
tensões,"[(6, 1), (19, 1)]"
comerciais,"[(6, 1), (30, 1)]"
produziu,"[(6, 2)]"
efeitos,"[(6, 1)]"
cascata,"[(6, 1)]"
mundiais,"[(6, 1), (8, 1)]"
impactando,"[(6, 1)]"
sobretudo,"[(6, 1)]"
europa,"[(6, 2), (8, 1), (21, 1), (23, 1)]"
específicas,"[(6, 1)]"
chinês,"[(6, 1)]"
desacelerar,"[(6, 1)]"
globais,"[(6, 1)]"
defasada,"[(6, 1)]"
brexit,"[(6, 1), (8, 1)]"
produtividade,"[(6, 1)]"
contam,"[(6, 1)]"
destaca,"[(6, 1), (7, 1), (28, 1), (52, 1), (56, 1), (59, 1), (61, 1), (64, 1)]"
olho,"[(6, 1), (37, 1), (63, 1)]"
negociações,"[(6, 1), (8, 1), (25, 2), (30, 3), (33, 2)]"
final,"[(6, 1), (8, 1), (11, 1), (25, 1), (26, 1), (33, 1), (35, 1), (42, 1), (56, 1), (62, 2)]"
viagem,"[(6, 1), (15, 1), (63, 1), (67, 1)]"
quarta,"[(6, 1), (8, 1), (9, 1), (14, 1), (15, 1), (16, 1), (17, 1), (19, 1), (21, 1), (23, 1), (24, 1), (25, 1), (26, 1), (55, 1), (56, 1), (58, 1), (66, 1), (68, 1), (69, 1), (75, 1)]"
falou,"[(6, 1), (59, 1)]"
imprensa,"[(6, 1), (21, 1), (23, 1), (26, 1), (34, 1)]"
jogar,"[(6, 1)]"
pesado,"[(6, 1), (67, 1)]"
deve,"[(6, 1), (8, 1), (33, 1), (35, 2), (51, 1), (53, 2), (66, 1)]"
receber,"[(6, 1), (34, 1), (39, 1), (50, 1)]"
líderes,"[(6, 1), (18, 1), (26, 1), (29, 1), (69, 1)]"
partidários,"[(6, 1), (67, 1)]"
tentativa,"[(6, 1), (15, 1), (34, 2), (56, 1)]"
reparar,"[(6, 1)]"
relacionamento,"[(6, 1)]"
estremecido,"[(6, 1)]"
parlamentares,"[(6, 1), (65, 2), (66, 1), (68, 2), (74, 1)]"
perder,"[(7, 1), (33, 1)]"
espaço,"[(7, 1), (35, 2), (45, 1), (59, 1), (64, 1)]"
maiores,"[(7, 2), (8, 4), (9, 1), (32, 1), (33, 1), (39, 1)]"
exportadores,"[(7, 2), (33, 1)]"
mundo,"[(7, 4), (33, 1), (35, 1), (36, 2), (37, 1), (49, 2), (59, 2), (66, 1), (71, 1)]"
informa,"[(7, 1), (30, 1)]"
genebra,"[(7, 1)]"
jornalista,"[(7, 1), (13, 1), (28, 1), (43, 1), (61, 1)]"
jamil,"[(7, 1)]"
chade,"[(7, 1)]"
organização,"[(7, 1), (15, 1), (21, 1), (30, 1), (33, 3), (51, 1)]"
comércio,"[(7, 1), (10, 1), (30, 2), (33, 10), (62, 1)]"
omc,"[(7, 3), (30, 3), (33, 15)]"
revelam,"[(7, 1)]"
vendas,"[(7, 3), (8, 1), (33, 1)]"
lugar,"[(7, 1), (23, 1), (37, 1), (58, 1), (64, 1)]"
importadores,"[(7, 1), (62, 1)]"
passou,"[(7, 1), (33, 1), (34, 2), (45, 1), (59, 3), (63, 1)]"
posição,"[(7, 1), (19, 1), (49, 1), (54, 1), (55, 1), (64, 1), (70, 1), (74, 2)]"
exportou,"[(7, 1)]"
viu,"[(7, 1), (34, 1)]"
parte,"[(7, 1), (8, 1), (15, 1), (20, 1), (24, 1), (33, 3), (34, 6), (35, 1), (37, 1), (49, 1), (53, 1), (59, 1), (62, 1), (67, 1), (68, 1), (74, 2)]"
composta,"[(7, 1), (44, 1)]"
substituindo,"[(7, 1)]"
americano,"[(7, 1), (19, 1), (24, 1), (25, 2), (33, 1), (45, 1)]"
superado,"[(7, 1), (9, 1)]"
vietnã,"[(7, 1)]"
malásia,"[(7, 1)]"
arábia,"[(7, 1), (20, 1)]"
saudita,"[(7, 1), (20, 1)]"
economias,"[(7, 1), (8, 2), (33, 1), (38, 1)]"
termos,"[(7, 1), (20, 1), (52, 1)]"
participação,"[(7, 2), (8, 1), (25, 1), (26, 3), (33, 2), (36, 1), (73, 1)]"
internacional,"[(7, 2), (13, 3), (26, 1), (29, 1), (33, 5), (36, 1), (49, 1), (59, 1), (66, 1)]"
mesma,"[(7, 1), (34, 1), (38, 1), (43, 1), (49, 1), (70, 1)]"
estagnada,"[(7, 1)]"
pol,"[(7, 1)]"
nia,"[(7, 1)]"
austrália,"[(7, 1), (21, 1)]"
tailândia,"[(7, 1)]"
exportam,"[(7, 1)]"
chegou,"[(7, 1), (10, 1), (31, 1), (62, 2)]"
exportador,"[(7, 1), (32, 1)]"
previa,"[(7, 1)]"
primeiros,"[(7, 1), (9, 1), (32, 1)]"
nunca,"[(7, 1), (22, 1), (34, 2), (37, 2), (40, 2), (42, 1), (45, 1), (51, 1)]"
ocorreu,"[(7, 1), (20, 1), (59, 1)]"
nessa,"[(7, 1), (34, 2), (56, 1), (59, 1)]"
classificação,"[(7, 1), (62, 1)]"
líder,"[(7, 1), (16, 2), (17, 2), (23, 1), (24, 1), (50, 1), (59, 1), (62, 1), (70, 2)]"
trilhões,"[(7, 1)]"
americanos,"[(7, 1), (63, 1)]"
aparecem,"[(7, 1)]"
trilhão,"[(7, 1), (8, 1)]"
avaliação,"[(7, 1), (56, 1), (59, 1), (63, 1)]"
diretor,"[(7, 1), (35, 2), (36, 1), (59, 1), (64, 1)]"
geral,"[(7, 1), (17, 1), (21, 1), (32, 1), (38, 1), (48, 3), (55, 2), (61, 4)]"
azevedo,"[(7, 1)]"
mostram,"[(7, 1), (64, 1)]"
integração,"[(7, 1), (12, 1), (66, 1)]"
nervosismo,"[(8, 1)]"
bate,"[(8, 1)]"
boca,"[(8, 1), (68, 1)]"
deputados,"[(8, 3), (58, 1), (65, 1), (66, 1), (68, 1)]"
oposição,"[(8, 2), (17, 2), (24, 1), (29, 1), (68, 1)]"
ccjc,"[(8, 1)]"
comissão,"[(8, 3), (14, 1), (59, 1), (65, 2), (66, 1), (68, 1), (75, 1)]"
constituição,"[(8, 2), (12, 2), (14, 1), (17, 1), (38, 1), (48, 1), (55, 2), (56, 2), (59, 1), (63, 1), (65, 1), (66, 1), (68, 1), (70, 2), (75, 1)]"
cidadania,"[(8, 1)]"
fez,"[(8, 1), (17, 1), (34, 1), (38, 1), (42, 1), (55, 1), (56, 1), (62, 1), (66, 1), (70, 1)]"
ibovespa,"[(8, 2)]"
perdesse,"[(8, 1)]"
pontos,"[(8, 8), (22, 1)]"
horas,"[(8, 1), (14, 1), (37, 1), (50, 1), (75, 1)]"
ações,"[(8, 1), (36, 1), (55, 2), (60, 2)]"
descola,"[(8, 1)]"
bolsas,"[(8, 1)]"
